participant,id,response,time,group,condition,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,stimulus_size,stimulus_price,confidence_on_semantic
1,tv_filler_9,1,6.63,1,bimodal,,unacceptable,filler,tv,,,,,,,5
1,tv_filler_10,5,2.092,1,bimodal,,acceptable,filler,tv,,,,,,,5
1,ch_filler_1,4,4.05,1,unimodal,,questionable,filler,couch,,,,,,,5
1,ch_filler_2,5,1.702,1,unimodal,,acceptable,filler,couch,,,,,,,5
1,ch_filler_3,4,2.089,1,unimodal,,acceptable,filler,couch,,,,,,,5
1,ch_filler_4,5,2.552,1,unimodal,,questionable,filler,couch,,,,,,,5
1,ch_filler_5,5,1.832,1,unimodal,,questionable,filler,couch,,,,,,,5
1,ch_filler_6,5,1.673,1,unimodal,,acceptable,filler,couch,,,,,,,5
1,ch_filler_7,1,2.035,1,unimodal,,unacceptable,filler,couch,,,,,,,5
1,ch_filler_8,5,1.483,1,unimodal,,unacceptable,filler,couch,,,,,,,5
1,ch_filler_9,5,1.936,1,unimodal,,acceptable,filler,couch,,,,,,,5
1,ch_filler_10,5,2.327,1,unimodal,,unacceptable,filler,couch,,,,,,,5
2,tv_test_1,4,1.803,1,bimodal,big expensive,,test,tv,big,expensive,scalar,first,,,4
2,tv_test_2,3,1.493,1,bimodal,expensive big,,test,tv,big,expensive,scalar,second,,,4
2,tv_test_3,2,1.881,1,bimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,4
2,tv_test_4,2,2.885,1,bimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,4
2,tv_test_5,2,1.874,1,bimodal,big cheap,,test,tv,big,cheap,scalar,first,,,4
2,tv_test_6,1,1.821,1,bimodal,cheap big,,test,tv,big,cheap,scalar,second,,,4
2,tv_test_7,2,1.588,1,bimodal,big discounted,,test,tv,big,discounted,absolute,first,,,4
2,tv_test_8,1,1.615,1,bimodal,discounted big,,test,tv,big,discounted,absolute,second,,,4
2,ch_test_1,2,2.261,1,unimodal,long expensive,,test,couch,long,expensive,scalar,first,,,4
2,ch_test_2,2,2.161,1,unimodal,expensive long,,test,couch,long,expensive,scalar,second,,,4
2,ch_test_3,1,2.083,1,unimodal,leather long,,test,couch,long,leather,absolute,second,,,4
2,ch_test_4,3,2.646,1,unimodal,long leather,,test,couch,long,leather,absolute,first,,,4
2,ch_test_5,2,2.281,1,unimodal,cheap long,,test,couch,long,cheap,scalar,second,,,4
2,ch_test_6,1,1.507,1,unimodal,long cheap,,test,couch,long,cheap,scalar,first,,,4
2,ch_test_7,2,2.392,1,unimodal,discounted long,,test,couch,long,discounted,absolute,second,,,4
2,ch_test_8,1,2.769,1,unimodal,long discounted,,test,couch,long,discounted,absolute,first,,,4
2,tv_filler_1,4,1.694,1,bimodal,,questionable,filler,tv,,,,,,,4
2,tv_filler_2,2,2.966,1,bimodal,,questionable,filler,tv,,,,,,,4
2,tv_filler_3,4,5.469,1,bimodal,,acceptable,filler,tv,,,,,,,4
2,tv_filler_4,4,2.484,1,bimodal,,acceptable,filler,tv,,,,,,,4
2,tv_filler_5,4,1.368,1,bimodal,,acceptable,filler,tv,,,,,,,4
2,tv_filler_6,1,1.489,1,bimodal,,unacceptable,filler,tv,,,,,,,4
2,tv_filler_7,1,1.677,1,bimodal,,unacceptable,filler,tv,,,,,,,4
2,tv_filler_8,1,1.52,1,bimodal,,unacceptable,filler,tv,,,,,,,4
2,tv_filler_9,1,3.053,1,bimodal,,unacceptable,filler,tv,,,,,,,4
2,tv_filler_10,5,1.422,1,bimodal,,acceptable,filler,tv,,,,,,,4
2,ch_filler_1,3,2.664,1,unimodal,,questionable,filler,couch,,,,,,,4
2,ch_filler_2,2,1.333,1,unimodal,,acceptable,filler,couch,,,,,,,4
2,ch_filler_3,3,2.673,1,unimodal,,acceptable,filler,couch,,,,,,,4
2,ch_filler_4,1,2.038,1,unimodal,,questionable,filler,couch,,,,,,,4
2,ch_filler_5,1,1.301,1,unimodal,,questionable,filler,couch,,,,,,,4
2,ch_filler_6,4,1.625,1,unimodal,,acceptable,filler,couch,,,,,,,4
2,ch_filler_7,1,1.656,1,unimodal,,unacceptable,filler,couch,,,,,,,4
2,ch_filler_8,1,2.618,1,unimodal,,unacceptable,filler,couch,,,,,,,4
2,ch_filler_9,3,2.676,1,unimodal,,acceptable,filler,couch,,,,,,,4
2,ch_filler_10,2,2.933,1,unimodal,,unacceptable,filler,couch,,,,,,,4
3,tv_test_1,5,23.605,2,unimodal,big expensive,,test,tv,big,expensive,scalar,first,,,5
3,tv_test_2,5,2.761,2,unimodal,expensive big,,test,tv,big,expensive,scalar,second,,,5
3,tv_test_3,1,6.591,2,unimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,5
3,tv_test_4,1,23.713,2,unimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,5
3,tv_test_5,5,3.111,2,unimodal,big cheap,,test,tv,big,cheap,scalar,first,,,5
3,tv_test_6,5,3.282,2,unimodal,cheap big,,test,tv,big,cheap,scalar,second,,,5
3,tv_test_7,3,2.385,2,unimodal,big discounted,,test,tv,big,discounted,absolute,first,,,5
3,tv_test_8,5,3.965,2,unimodal,discounted big,,test,tv,big,discounted,absolute,second,,,5
3,ch_test_1,5,1.927,2,bimodal,long expensive,,test,couch,long,expensive,scalar,first,,,5
3,ch_test_2,4,4.882,2,bimodal,expensive long,,test,couch,long,expensive,scalar,second,,,5
3,ch_test_3,3,7.437,2,bimodal,leather long,,test,couch,long,leather,absolute,second,,,5
3,ch_test_4,5,3.767,2,bimodal,long leather,,test,couch,long,leather,absolute,first,,,5
3,ch_test_5,3,6.398,2,bimodal,cheap long,,test,couch,long,cheap,scalar,second,,,5
3,ch_test_6,5,2.92,2,bimodal,long cheap,,test,couch,long,cheap,scalar,first,,,5
3,ch_test_7,3,9.96,2,bimodal,discounted long,,test,couch,long,discounted,absolute,second,,,5
3,ch_test_8,4,8.015,2,bimodal,long discounted,,test,couch,long,discounted,absolute,first,,,5
3,tv_filler_1,3,3.186,2,unimodal,,questionable,filler,tv,,,,,,,5
3,tv_filler_2,2,4.299,2,unimodal,,questionable,filler,tv,,,,,,,5
3,tv_filler_3,5,2.077,2,unimodal,,acceptable,filler,tv,,,,,,,5
3,tv_filler_4,5,2.838,2,unimodal,,acceptable,filler,tv,,,,,,,5
3,tv_filler_5,5,1.97,2,unimodal,,acceptable,filler,tv,,,,,,,5
3,tv_filler_6,1,3.027,2,unimodal,,unacceptable,filler,tv,,,,,,,5
3,tv_filler_7,1,2.262,2,unimodal,,unacceptable,filler,tv,,,,,,,5
3,tv_filler_8,1,3.433,2,unimodal,,unacceptable,filler,tv,,,,,,,5
3,tv_filler_9,1,3.006,2,unimodal,,unacceptable,filler,tv,,,,,,,5
3,tv_filler_10,5,3.114,2,unimodal,,acceptable,filler,tv,,,,,,,5
3,ch_filler_1,4,3.759,2,bimodal,,questionable,filler,couch,,,,,,,5
3,ch_filler_2,5,2.201,2,bimodal,,acceptable,filler,couch,,,,,,,5
3,ch_filler_3,4,3.133,2,bimodal,,acceptable,filler,couch,,,,,,,5
3,ch_filler_4,3,4.01,2,bimodal,,questionable,filler,couch,,,,,,,5
3,ch_filler_5,2,3.072,2,bimodal,,questionable,filler,couch,,,,,,,5
3,ch_filler_6,5,3.593,2,bimodal,,acceptable,filler,couch,,,,,,,5
3,ch_filler_7,1,15.448,2,bimodal,,unacceptable,filler,couch,,,,,,,5
3,ch_filler_8,5,2.954,2,bimodal,,unacceptable,filler,couch,,,,,,,5
3,ch_filler_9,5,3.424,2,bimodal,,acceptable,filler,couch,,,,,,,5
3,ch_filler_10,1,3.342,2,bimodal,,unacceptable,filler,couch,,,,,,,5
4,tv_test_1,5,2.176,2,unimodal,big expensive,,test,tv,big,expensive,scalar,first,,,5
4,tv_test_2,4,2.076,2,unimodal,expensive big,,test,tv,big,expensive,scalar,second,,,5
4,tv_test_3,5,2.337,2,unimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,5
4,tv_test_4,5,1.242,2,unimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,5
4,tv_test_5,5,2.278,2,unimodal,big cheap,,test,tv,big,cheap,scalar,first,,,5
4,tv_test_6,5,7.883,2,unimodal,cheap big,,test,tv,big,cheap,scalar,second,,,5
4,tv_test_7,5,1.563,2,unimodal,big discounted,,test,tv,big,discounted,absolute,first,,,5
4,tv_test_8,5,1.62,2,unimodal,discounted big,,test,tv,big,discounted,absolute,second,,,5
4,ch_test_1,5,1.685,2,bimodal,long expensive,,test,couch,long,expensive,scalar,first,,,5
4,ch_test_2,4,3.287,2,bimodal,expensive long,,test,couch,long,expensive,scalar,second,,,5
4,ch_test_3,4,3.38,2,bimodal,leather long,,test,couch,long,leather,absolute,second,,,5
4,ch_test_4,5,1.545,2,bimodal,long leather,,test,couch,long,leather,absolute,first,,,5
4,ch_test_5,5,2.299,2,bimodal,cheap long,,test,couch,long,cheap,scalar,second,,,5
4,ch_test_6,4,2.406,2,bimodal,long cheap,,test,couch,long,cheap,scalar,first,,,5
4,ch_test_7,5,2.987,2,bimodal,discounted long,,test,couch,long,discounted,absolute,second,,,5
4,ch_test_8,4,1.695,2,bimodal,long discounted,,test,couch,long,discounted,absolute,first,,,5
4,tv_filler_1,4,4.011,2,unimodal,,questionable,filler,tv,,,,,,,5
4,tv_filler_2,2,4.317,2,unimodal,,questionable,filler,tv,,,,,,,5
4,tv_filler_3,5,1.506,2,unimodal,,acceptable,filler,tv,,,,,,,5
4,tv_filler_4,5,1.659,2,unimodal,,acceptable,filler,tv,,,,,,,5
4,tv_filler_5,5,1.737,2,unimodal,,acceptable,filler,tv,,,,,,,5
4,tv_filler_6,1,2.548,2,unimodal,,unacceptable,filler,tv,,,,,,,5
4,tv_filler_7,1,1.808,2,unimodal,,unacceptable,filler,tv,,,,,,,5
4,tv_filler_8,5,1.582,2,unimodal,,unacceptable,filler,tv,,,,,,,5
4,tv_filler_9,1,2.854,2,unimodal,,unacceptable,filler,tv,,,,,,,5
4,tv_filler_10,5,1.946,2,unimodal,,acceptable,filler,tv,,,,,,,5
4,ch_filler_1,4,1.816,2,bimodal,,questionable,filler,couch,,,,,,,5
4,ch_filler_2,5,1.539,2,bimodal,,acceptable,filler,couch,,,,,,,5
4,ch_filler_3,5,4.285,2,bimodal,,acceptable,filler,couch,,,,,,,5
4,ch_filler_4,2,2.869,2,bimodal,,questionable,filler,couch,,,,,,,5
4,ch_filler_5,4,2.239,2,bimodal,,questionable,filler,couch,,,,,,,5
4,ch_filler_6,5,1.903,2,bimodal,,acceptable,filler,couch,,,,,,,5
4,ch_filler_7,1,1.992,2,bimodal,,unacceptable,filler,couch,,,,,,,5
4,ch_filler_8,1,4.419,2,bimodal,,unacceptable,filler,couch,,,,,,,5
4,ch_filler_9,4,2.312,2,bimodal,,acceptable,filler,couch,,,,,,,5
4,ch_filler_10,5,4.416,2,bimodal,,unacceptable,filler,couch,,,,,,,5
5,tv_test_1,4,5.399,1,bimodal,big expensive,,test,tv,big,expensive,scalar,first,,,4
5,tv_test_2,3,5.122,1,bimodal,expensive big,,test,tv,big,expensive,scalar,second,,,4
5,tv_test_3,4,1.773,1,bimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,4
5,tv_test_4,5,2.56,1,bimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,4
5,tv_test_5,4,3.247,1,bimodal,big cheap,,test,tv,big,cheap,scalar,first,,,4
5,tv_test_6,3,4.25,1,bimodal,cheap big,,test,tv,big,cheap,scalar,second,,,4
5,tv_test_7,4,2.123,1,bimodal,big discounted,,test,tv,big,discounted,absolute,first,,,4
5,tv_test_8,4,3.712,1,bimodal,discounted big,,test,tv,big,discounted,absolute,second,,,4
5,ch_test_1,5,3.001,1,unimodal,long expensive,,test,couch,long,expensive,scalar,first,,,4
5,ch_test_2,4,3.67,1,unimodal,expensive long,,test,couch,long,expensive,scalar,second,,,4
5,ch_test_3,2,2.562,1,unimodal,leather long,,test,couch,long,leather,absolute,second,,,4
5,ch_test_4,5,2.183,1,unimodal,long leather,,test,couch,long,leather,absolute,first,,,4
5,ch_test_5,3,3.201,1,unimodal,cheap long,,test,couch,long,cheap,scalar,second,,,4
5,ch_test_6,5,4.501,1,unimodal,long cheap,,test,couch,long,cheap,scalar,first,,,4
5,ch_test_7,4,5.875,1,unimodal,discounted long,,test,couch,long,discounted,absolute,second,,,4
5,ch_test_8,3,3.278,1,unimodal,long discounted,,test,couch,long,discounted,absolute,first,,,4
5,tv_filler_1,4,2.757,1,bimodal,,questionable,filler,tv,,,,,,,4
5,tv_filler_2,1,3.073,1,bimodal,,questionable,filler,tv,,,,,,,4
5,tv_filler_3,5,1.772,1,bimodal,,acceptable,filler,tv,,,,,,,4
5,tv_filler_4,5,1.728,1,bimodal,,acceptable,filler,tv,,,,,,,4
5,tv_filler_5,5,1.906,1,bimodal,,acceptable,filler,tv,,,,,,,4
5,tv_filler_6,1,6.417,1,bimodal,,unacceptable,filler,tv,,,,,,,4
5,tv_filler_7,1,6.276,1,bimodal,,unacceptable,filler,tv,,,,,,,4
5,tv_filler_8,1,2.109,1,bimodal,,unacceptable,filler,tv,,,,,,,4
5,tv_filler_9,1,2.953,1,bimodal,,unacceptable,filler,tv,,,,,,,4
5,tv_filler_10,5,2.135,1,bimodal,,acceptable,filler,tv,,,,,,,4
5,ch_filler_1,5,3.365,1,unimodal,,questionable,filler,couch,,,,,,,4
5,ch_filler_2,5,1.561,1,unimodal,,acceptable,filler,couch,,,,,,,4
5,ch_filler_3,5,2.58,1,unimodal,,acceptable,filler,couch,,,,,,,4
5,ch_filler_4,4,2.382,1,unimodal,,questionable,filler,couch,,,,,,,4
5,ch_filler_5,3,3.132,1,unimodal,,questionable,filler,couch,,,,,,,4
5,ch_filler_6,5,2.299,1,unimodal,,acceptable,filler,couch,,,,,,,4
5,ch_filler_7,1,2.576,1,unimodal,,unacceptable,filler,couch,,,,,,,4
5,ch_filler_8,2,4.152,1,unimodal,,unacceptable,filler,couch,,,,,,,4
5,ch_filler_9,4,5.09,1,unimodal,,acceptable,filler,couch,,,,,,,4
5,ch_filler_10,1,3.805,1,unimodal,,unacceptable,filler,couch,,,,,,,4
6,tv_test_1,4,2.511,2,unimodal,big expensive,,test,tv,big,expensive,scalar,first,,,4
6,tv_test_2,4,2.936,2,unimodal,expensive big,,test,tv,big,expensive,scalar,second,,,4
6,tv_test_3,4,2.621,2,unimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,4
6,tv_test_4,3,4.81,2,unimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,4
6,tv_test_5,2,10.131,2,unimodal,big cheap,,test,tv,big,cheap,scalar,first,,,4
6,tv_test_6,3,2.662,2,unimodal,cheap big,,test,tv,big,cheap,scalar,second,,,4
6,tv_test_7,4,8.057,2,unimodal,big discounted,,test,tv,big,discounted,absolute,first,,,4
6,tv_test_8,4,2.024,2,unimodal,discounted big,,test,tv,big,discounted,absolute,second,,,4
6,ch_test_1,3,4.287,2,bimodal,long expensive,,test,couch,long,expensive,scalar,first,,,4
6,ch_test_2,4,2.727,2,bimodal,expensive long,,test,couch,long,expensive,scalar,second,,,4
6,ch_test_3,1,2.693,2,bimodal,leather long,,test,couch,long,leather,absolute,second,,,4
6,ch_test_4,3,2.773,2,bimodal,long leather,,test,couch,long,leather,absolute,first,,,4
6,ch_test_5,2,2.967,2,bimodal,cheap long,,test,couch,long,cheap,scalar,second,,,4
6,ch_test_6,2,1.893,2,bimodal,long cheap,,test,couch,long,cheap,scalar,first,,,4
6,ch_test_7,4,1.868,2,bimodal,discounted long,,test,couch,long,discounted,absolute,second,,,4
6,ch_test_8,2,3.69,2,bimodal,long discounted,,test,couch,long,discounted,absolute,first,,,4
6,tv_filler_1,3,3.179,2,unimodal,,questionable,filler,tv,,,,,,,4
6,tv_filler_2,1,2.468,2,unimodal,,questionable,filler,tv,,,,,,,4
6,tv_filler_3,5,2.631,2,unimodal,,acceptable,filler,tv,,,,,,,4
6,tv_filler_4,3,4.154,2,unimodal,,acceptable,filler,tv,,,,,,,4
6,tv_filler_5,4,2.338,2,unimodal,,acceptable,filler,tv,,,,,,,4
6,tv_filler_6,1,2.252,2,unimodal,,unacceptable,filler,tv,,,,,,,4
6,tv_filler_7,1,1.937,2,unimodal,,unacceptable,filler,tv,,,,,,,4
6,tv_filler_8,1,2.517,2,unimodal,,unacceptable,filler,tv,,,,,,,4
6,tv_filler_9,1,4.259,2,unimodal,,unacceptable,filler,tv,,,,,,,4
6,tv_filler_10,4,2.236,2,unimodal,,acceptable,filler,tv,,,,,,,4
6,ch_filler_1,4,2.181,2,bimodal,,questionable,filler,couch,,,,,,,4
6,ch_filler_2,4,2.1,2,bimodal,,acceptable,filler,couch,,,,,,,4
6,ch_filler_3,5,3.683,2,bimodal,,acceptable,filler,couch,,,,,,,4
6,ch_filler_4,3,2.034,2,bimodal,,questionable,filler,couch,,,,,,,4
6,ch_filler_5,2,2.694,2,bimodal,,questionable,filler,couch,,,,,,,4
6,ch_filler_6,4,1.542,2,bimodal,,acceptable,filler,couch,,,,,,,4
6,ch_filler_7,2,1.446,2,bimodal,,unacceptable,filler,couch,,,,,,,4
6,ch_filler_8,1,1.63,2,bimodal,,unacceptable,filler,couch,,,,,,,4
6,ch_filler_9,4,4.116,2,bimodal,,acceptable,filler,couch,,,,,,,4
6,ch_filler_10,1,1.779,2,bimodal,,unacceptable,filler,couch,,,,,,,4
7,tv_test_1,4,4.9,1,bimodal,big expensive,,test,tv,big,expensive,scalar,first,,,5
7,tv_test_2,5,2.884,1,bimodal,expensive big,,test,tv,big,expensive,scalar,second,,,5
7,tv_test_3,4,3.915,1,bimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,5
7,tv_test_4,5,3.696,1,bimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,5
7,tv_test_5,5,3.367,1,bimodal,big cheap,,test,tv,big,cheap,scalar,first,,,5
7,tv_test_6,4,5.451,1,bimodal,cheap big,,test,tv,big,cheap,scalar,second,,,5
7,tv_test_7,5,2.604,1,bimodal,big discounted,,test,tv,big,discounted,absolute,first,,,5
7,tv_test_8,5,2.595,1,bimodal,discounted big,,test,tv,big,discounted,absolute,second,,,5
7,ch_test_1,5,1.858,1,unimodal,long expensive,,test,couch,long,expensive,scalar,first,,,5
7,ch_test_2,5,2.745,1,unimodal,expensive long,,test,couch,long,expensive,scalar,second,,,5
7,ch_test_3,4,6.466,1,unimodal,leather long,,test,couch,long,leather,absolute,second,,,5
7,ch_test_4,5,2.212,1,unimodal,long leather,,test,couch,long,leather,absolute,first,,,5
7,ch_test_5,5,2.485,1,unimodal,cheap long,,test,couch,long,cheap,scalar,second,,,5
7,ch_test_6,3,7.908,1,unimodal,long cheap,,test,couch,long,cheap,scalar,first,,,5
7,ch_test_7,5,1.833,1,unimodal,discounted long,,test,couch,long,discounted,absolute,second,,,5
7,ch_test_8,4,3.015,1,unimodal,long discounted,,test,couch,long,discounted,absolute,first,,,5
7,tv_filler_1,5,2.878,1,bimodal,,questionable,filler,tv,,,,,,,5
7,tv_filler_2,3,8.599,1,bimodal,,questionable,filler,tv,,,,,,,5
7,tv_filler_3,5,4.438,1,bimodal,,acceptable,filler,tv,,,,,,,5
7,tv_filler_4,5,10.632,1,bimodal,,acceptable,filler,tv,,,,,,,5
7,tv_filler_5,5,2.944,1,bimodal,,acceptable,filler,tv,,,,,,,5
7,tv_filler_6,1,3.148,1,bimodal,,unacceptable,filler,tv,,,,,,,5
7,tv_filler_7,1,4.724,1,bimodal,,unacceptable,filler,tv,,,,,,,5
7,tv_filler_8,1,2.863,1,bimodal,,unacceptable,filler,tv,,,,,,,5
7,tv_filler_9,1,6.32,1,bimodal,,unacceptable,filler,tv,,,,,,,5
7,tv_filler_10,5,2.907,1,bimodal,,acceptable,filler,tv,,,,,,,5
7,ch_filler_1,5,2.182,1,unimodal,,questionable,filler,couch,,,,,,,5
7,ch_filler_2,5,1.826,1,unimodal,,acceptable,filler,couch,,,,,,,5
7,ch_filler_3,5,2.314,1,unimodal,,acceptable,filler,couch,,,,,,,5
7,ch_filler_4,2,5.313,1,unimodal,,questionable,filler,couch,,,,,,,5
7,ch_filler_5,4,3.735,1,unimodal,,questionable,filler,couch,,,,,,,5
7,ch_filler_6,5,1.971,1,unimodal,,acceptable,filler,couch,,,,,,,5
7,ch_filler_7,1,1.934,1,unimodal,,unacceptable,filler,couch,,,,,,,5
7,ch_filler_8,1,3.503,1,unimodal,,unacceptable,filler,couch,,,,,,,5
7,ch_filler_9,5,2.047,1,unimodal,,acceptable,filler,couch,,,,,,,5
7,ch_filler_10,1,2.537,1,unimodal,,unacceptable,filler,couch,,,,,,,5
8,tv_test_1,5,2.457,1,bimodal,big expensive,,test,tv,big,expensive,scalar,first,,,5
8,tv_test_2,1,1.849,1,bimodal,expensive big,,test,tv,big,expensive,scalar,second,,,5
8,tv_test_3,3,3.484,1,bimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,5
8,tv_test_4,4,2.588,1,bimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,5
8,tv_test_5,5,1.73,1,bimodal,big cheap,,test,tv,big,cheap,scalar,first,,,5
8,tv_test_6,4,3.811,1,bimodal,cheap big,,test,tv,big,cheap,scalar,second,,,5
8,tv_test_7,5,3.624,1,bimodal,big discounted,,test,tv,big,discounted,absolute,first,,,5
8,tv_test_8,3,10.694,1,bimodal,discounted big,,test,tv,big,discounted,absolute,second,,,5
8,ch_test_1,5,1.886,1,unimodal,long expensive,,test,couch,long,expensive,scalar,first,,,4
8,ch_test_2,4,3.451,1,unimodal,expensive long,,test,couch,long,expensive,scalar,second,,,4
8,ch_test_3,1,3.918,1,unimodal,leather long,,test,couch,long,leather,absolute,second,,,4
8,ch_test_4,4,1.8,1,unimodal,long leather,,test,couch,long,leather,absolute,first,,,4
8,ch_test_5,4,4.445,1,unimodal,cheap long,,test,couch,long,cheap,scalar,second,,,4
8,ch_test_6,5,2.897,1,unimodal,long cheap,,test,couch,long,cheap,scalar,first,,,4
8,ch_test_7,4,4.151,1,unimodal,discounted long,,test,couch,long,discounted,absolute,second,,,4
8,ch_test_8,1,4.295,1,unimodal,long discounted,,test,couch,long,discounted,absolute,first,,,4
8,tv_filler_1,5,1.801,1,bimodal,,questionable,filler,tv,,,,,,,5
8,tv_filler_2,3,3.476,1,bimodal,,questionable,filler,tv,,,,,,,5
8,tv_filler_3,5,1.991,1,bimodal,,acceptable,filler,tv,,,,,,,5
8,tv_filler_4,4,4.101,1,bimodal,,acceptable,filler,tv,,,,,,,5
8,tv_filler_5,4,3.441,1,bimodal,,acceptable,filler,tv,,,,,,,5
8,tv_filler_6,1,2.538,1,bimodal,,unacceptable,filler,tv,,,,,,,5
8,tv_filler_7,1,2.249,1,bimodal,,unacceptable,filler,tv,,,,,,,5
8,tv_filler_8,1,2.126,1,bimodal,,unacceptable,filler,tv,,,,,,,5
8,tv_filler_9,1,4.002,1,bimodal,,unacceptable,filler,tv,,,,,,,5
8,tv_filler_10,4,4.903,1,bimodal,,acceptable,filler,tv,,,,,,,5
8,ch_filler_1,4,1.849,1,unimodal,,questionable,filler,couch,,,,,,,4
8,ch_filler_2,4,2.252,1,unimodal,,acceptable,filler,couch,,,,,,,4
8,ch_filler_3,4,3.66,1,unimodal,,acceptable,filler,couch,,,,,,,4
8,ch_filler_4,4,2.573,1,unimodal,,questionable,filler,couch,,,,,,,4
8,ch_filler_5,2,5.072,1,unimodal,,questionable,filler,couch,,,,,,,4
8,ch_filler_6,5,1.958,1,unimodal,,acceptable,filler,couch,,,,,,,4
8,ch_filler_7,1,2.917,1,unimodal,,unacceptable,filler,couch,,,,,,,4
8,ch_filler_8,1,4.272,1,unimodal,,unacceptable,filler,couch,,,,,,,4
8,ch_filler_9,4,1.933,1,unimodal,,acceptable,filler,couch,,,,,,,4
8,ch_filler_10,4,4.142,1,unimodal,,unacceptable,filler,couch,,,,,,,4
9,tv_test_1,5,1.986,1,bimodal,big expensive,,test,tv,big,expensive,scalar,first,,,5
9,tv_test_2,5,2.03,1,bimodal,expensive big,,test,tv,big,expensive,scalar,second,,,5
9,tv_test_3,5,2.995,1,bimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,5
9,tv_test_4,5,1.755,1,bimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,5
9,tv_test_5,5,1.769,1,bimodal,big cheap,,test,tv,big,cheap,scalar,first,,,5
9,tv_test_6,5,1.966,1,bimodal,cheap big,,test,tv,big,cheap,scalar,second,,,5
9,tv_test_7,5,2.058,1,bimodal,big discounted,,test,tv,big,discounted,absolute,first,,,5
9,tv_test_8,5,19.076,1,bimodal,discounted big,,test,tv,big,discounted,absolute,second,,,5
9,ch_test_1,5,3.03,1,unimodal,long expensive,,test,couch,long,expensive,scalar,first,,,4
9,ch_test_2,5,2.094,1,unimodal,expensive long,,test,couch,long,expensive,scalar,second,,,4
9,ch_test_3,5,1.725,1,unimodal,leather long,,test,couch,long,leather,absolute,second,,,4
9,ch_test_4,5,3.73,1,unimodal,long leather,,test,couch,long,leather,absolute,first,,,4
9,ch_test_5,5,2.532,1,unimodal,cheap long,,test,couch,long,cheap,scalar,second,,,4
